PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P380
Station name, OITCampus_OR2005
Begin Date, 2005-04-02
End Date, 2026-06-18
Release Date, 2026-06-19
Source file, P380.cwu.nam14.pos
Offset from source file, 34.14 mm North, -11.84 mm East, -7.69 mm Vertical
Reference position, 42.2596703428 North Latitude, -121.7796981421 East Longitude, 1390.82462 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-11-16,5.66, 2.34, -9.55, 2.31, 1.68, 7.66, repro,
2005-11-17,5.17, 1.47, -6.63, 2.17, 1.59, 7.25, repro,
2005-11-18,5.07, 2.48, -4.18, 2.19, 1.6, 7.31, repro,
2005-11-19,5.89, 2.06, -0.03, 2.47, 1.79, 8.35, repro,
2005-11-20,4.76, 2.06, 1.69, 2.53, 1.93, 8.64, repro,
2005-11-21,4.38, 1.55, -1.59, 2.42, 1.7, 7.92, repro,
2005-11-22,4.14, 2.30, 0.70, 2.52, 1.86, 8.38, repro,
2005-11-23,4.19, 2.63, -1.05, 2.7, 2, 9.15, repro,
2005-11-24,4.36, 2.47, 1.46, 2.34, 1.68, 7.67, repro,
2005-11-25,4.34, 1.24, 9.07, 2.17, 1.6, 7.24, repro,
2005-11-26,4.39, 1.96, 6.87, 2.25, 1.68, 7.61, repro,
2005-11-27,4.21, 1.66, 3.32, 2.22, 1.64, 7.44, repro,
2005-11-28,4.96, 1.98, 1.26, 2.28, 1.71, 7.77, repro,
2005-11-29,5.00, -0.39, 11.29, 2.25, 1.65, 7.48, repro,
2005-11-30,6.75, -0.69, 0.35, 2.17, 1.6, 7.25, repro,
2005-12-01,6.80, 2.15, 5.14, 2.17, 1.59, 7.2, repro,
2005-12-02,3.52, -0.24, 9.85, 2.17, 1.61, 7.23, repro,
2005-12-03,4.38, 0.38, 5.11, 2.28, 1.66, 7.42, repro,
2005-12-04,6.42, 1.75, -1.74, 2.52, 1.84, 8.25, repro,
2005-12-05,4.58, 1.45, -4.63, 2.3, 1.69, 7.6, repro,
2005-12-06,5.50, 1.26, -6.30, 2.53, 1.83, 8.35, repro,
2005-12-07,4.54, 0.58, -0.22, 2.29, 1.68, 7.53, repro,
2005-12-08,4.30, 1.89, 0.97, 2.23, 1.64, 7.46, repro,
2005-12-09,4.67, 1.19, 2.09, 2.24, 1.64, 7.41, repro,
2005-12-10,5.51, 1.01, 3.04, 2.59, 1.91, 8.48, repro,
2005-12-11,5.91, 2.27, 1.65, 3.16, 2.23, 9.99, repro,
2005-12-12,5.99, 0.39, 5.09, 2.92, 2.07, 9.2, repro,
2005-12-13,6.56, 1.56, 1.02, 2.75, 1.96, 8.68, repro,
2005-12-14,7.44, 0.30, -5.84, 2.78, 1.96, 8.78, repro,
2005-12-15,6.13, 0.99, -0.66, 2.82, 2.03, 9.19, repro,
2005-12-16,5.26, 0.56, 2.41, 2.8, 1.98, 9.04, repro,
2005-12-17,5.14, -0.15, 4.82, 2.61, 1.81, 8, repro,
2005-12-18,7.07, 1.11, -6.50, 2.72, 1.97, 8.7, repro,
2005-12-19,6.32, 0.60, -3.54, 2.28, 1.72, 7.43, repro,
2005-12-20,3.43, 1.62, -3.41, 2.26, 1.74, 7.57, repro,
2005-12-21,2.40, 0.28, 1.07, 2.22, 1.69, 7.39, repro,
2005-12-22,5.05, 1.72, -0.18, 2.19, 1.69, 7.3, repro,
2005-12-23,4.12, 0.40, 3.81, 2.66, 1.93, 8.64, repro,
2005-12-24,4.88, 1.54, -9.94, 2.75, 2, 8.77, repro,
2005-12-25,2.97, 1.36, 6.15, 2.8, 2.15, 9.42, repro,
2005-12-26,4.86, 0.34, 0.01, 2.38, 1.72, 7.68, repro,
2005-12-31,3.55, -1.49, -0.11, 4.25, 3.3, 16.19, repro,
2006-01-01,4.65, -1.62, 8.46, 2.32, 1.76, 7.83, repro,
2006-01-02,5.94, 1.31, 3.33, 2.48, 1.85, 7.91, repro,
2006-01-03,4.07, -0.25, -0.38, 2.52, 2.03, 8.67, repro,
2006-01-04,4.90, 1.04, -6.72, 2.76, 2.26, 9.33, repro,
2006-01-05,5.09, 1.45, -13.80, 2.73, 1.95, 8.55, repro,
2006-01-06,2.17, 1.24, -3.41, 3.29, 2.43, 10.29, repro,
2006-01-07,4.99, -0.49, -1.76, 2.31, 1.78, 7.61, repro,
2006-01-08,4.28, 1.07, 1.87, 2.67, 2.12, 8.71, repro,
2006-01-09,6.93, 0.66, -8.82, 3.36, 2.67, 11.88, repro,
2006-01-10,4.65, 0.48, 2.18, 2.31, 1.76, 7.78, repro,
2006-01-11,5.04, 1.90, 5.71, 2.76, 2.07, 8.89, repro,
2006-01-12,5.64, 1.50, -5.94, 2.28, 1.74, 7.52, repro,
2006-01-13,5.82, 0.21, 4.37, 2.62, 2, 8.86, repro,
2006-01-14,7.55, 0.48, -4.65, 2.25, 1.68, 7.48, repro,
